序号,英语,汉语
109,Minneapolis,明尼阿波利斯
110,Sanyuanli,三元里
111,Baiyun,白云山
112,station,水电站
113,Guangdong,广东
114,Sanda,散打
115,Donetsk,顿涅茨克
116,Shenyang,沈阳
117,Sendai,仙台
118,renminbi,人民币
119,parkinsonism,帕金森病
120,Moussavi,穆萨维
121,Tahiti,塔希提
122,Polynesia,法属波利尼西亚
123,Pelosi,佩洛西
124,Nanjing,南京
125,Meizhou,梅州
126,signalling,信令
127,Boston,波斯顿
128,Beijing,北京城
129,Titanic,泰坦尼克号
130,Badaling,八达岭
131,Shenzhen,深圳市
132,Yangshang,洋山港
133,Jolie’s,朱莉
134,Wuzhou,梧州
135,Xiaogan,孝感
136,Brooklyn,布鲁克林
137,Darcy,达西
138,Kunming,昆明
139,Ogden,奥格登
140,Sanxingdui,三星堆
141,Saleh,萨利赫
142,Mubarak's,穆巴拉克
143,Recife,累西腓
144,Guilin,桂林
145,Gansu,甘肃
146,Moscow,莫斯科市
147,Cameron,卡梅伦
148,Malouda,马卢达
149,Henan,河南省
150,Kuomintang,国民党
151,Indian,印度人
152,Dameisha,大梅沙
153,Lincang,临沧
154,Wuhan,武汉
155,Dongguan,东莞
156,Phoebe,菲比
157,Dandong,丹东
158,setting,设定
159,Nusrat,努斯拉特
160,Yunnan,云南省
161,Arlington,阿灵顿
162,Clinton,克林顿
163,Delhi,新德里
164,hukou,户口
165,Wuzhen,乌镇
166,Milosevic,米洛舍维奇
167,baizhang,百丈
168,Yuanpei,蔡元培
169,Tripoli,的黎波里
170,William,威廉
171,Hebei,河北
172,Austen's,奥斯汀
173,Wenger's,温格
174,Toufen,头份
175,Hubble,哈勃
176,Zhenning,杨振宁
177,Shandong,山东
178,Jinan,济南
179,Seville,塞维利亚
180,Nottingham,诺丁汉
181,Latin,拉丁文
182,Twain,吐温
183,Mankiewicz,曼凯维支
184,Hebei,河北省
185,tung,桐
186,Hailaer,海拉尔
187,Hummer’s,悍马
188,mum,妈妈
189,Carter,卡特
190,Susann,苏珊娜
191,Miley,麦莉
192,Community,共同体
193,Susan,苏珊
194,Webster's,韦伯斯特
195,Shaolin,少林
196,Mubarak,穆巴拉克
197,Ferguson,弗格森
198,Portsmouth,朴茨茅斯
199,Simitis,西米迪斯
200,bindings,绑定
201,Canton,广东
202,Tao,道
203,Harvard,哈佛
204,England,英国人
205,Pitt,皮特
206,Appalachia,阿巴拉契亚
207,Michigan,密西根
208,Huanghai,黄海
209,Sony,索尼
210,Zusanli,足三里
211,Nato,北约
212,Wenger,温格
213,Yifei,刘亦菲
214,Munger,芒格
215,shanghai,上海
216,Guangdong,广东省
217,Chang'e,嫦娥
218,Suleiman,苏莱曼
219,Hemingway,海明威
220,Huainan,淮南
221,Taiwan's,台湾
222,Yingjeou,马英九
223,BYD,比亚迪
224,mom,妈妈
225,Taihang,太行山
226,Francisco,弗朗西斯科
227,Barnes,巴恩斯
228,Elbasan,爱尔巴桑
229,Gansu,甘肃省
230,Mugabe,穆加贝
231,Reilly,赖利
232,Juventus's,尤文图斯
233,Manzhouli,满洲里市
234,Tinto,力拓
235,Moses,梅瑟
236,Clintons,克林顿
237,Qingming,清明
238,Heilongjiang,黑龙江省
239,Jinzhou,锦州
240,Anhui,安徽
241,Multimedia,多媒体
242,Venezuelan,委内瑞拉人
243,Huludao,葫芦岛
244,huoshan,霍山
245,derby,德比
246,Mom,妈妈
247,guqin,古琴
248,Huawei,华为
249,Lampard,兰帕德
250,Austen’s,奥斯汀
251,Qinghai,青海
252,Yantai,烟台
253,Lansing's,兰辛市
254,Anyang,安阳
255,Bohaiwan,渤海湾
256,Harbin,哈尔滨
257,Shimen,石门
258,Whitney,惠特尼
259,Edinburgh,爱丁堡
260,Idaho,爱达荷州
261,Gul'dan's,古尔丹
262,Palestinian,巴勒斯坦人
263,BEIJING,北京
264,Xinhuanet,新华网
265,Taipei,台北
266,Netanyahu,内塔尼亚胡
267,Ballet,芭蕾舞剧
268,Hainan,海南
269,barcelona,巴塞罗纳
270,Xianning,咸宁
271,Hubei,湖北
272,Dongfeng,东风
273,Haikou,海口
274,Hanfu,汉服
275,Busan,釜山
276,Wanping,宛平
277,Dagon,大衮
278,Wanping,宛平县
279,Honolulu,火奴鲁鲁
280,Ya'an,雅安市
281,Chang'an,长安
282,Greenland,格陵兰岛
283,Jiangling,江铃
284,Lehman,雷曼
285,Yunan,云南
286,Nantong,南通
287,Martinique,马提尼克岛
288,Arafat,阿拉法特
289,Foshan,佛山市
290,Syngenta,先正达
291,Lcarnitine,左卡尼汀
292,Indonesian,印尼
293,Ruth,露丝
294,Mussolini,墨索里尼
295,Istanbul,伊斯坦堡
296,Rebiya,热比娅
